Feature,Importance
Lag_52,0.3938621
EMA_4,0.18969835
Lag_1,0.16639614
Rolling_Min_4,0.04416638
Year,0.041360296
IsHoliday,0.02869903
Rolling_Mean_4,0.017991576
CPI,0.012258113
Dept_Name_Toys,0.009160197
Rolling_Max_52,0.008596084
Rolling_Min_12,0.008011342
Quarter,0.007583803
Month,0.007503837
Dept_ID,0.0044575282
Lag_12,0.0043029594
Rolling_Max_4,0.004282962
Lag_4,0.004168858
Rolling_Mean_52,0.0040123756
Rolling_Std_52,0.0035502277
Is_Month_End,0.0034563385
Rolling_Min_8,0.0031303554
Markdown_Discount,0.0027446554
WeekOfYear,0.0027176414
Rolling_Min_26,0.0025269748
Cos_Week,0.0020035782
Rolling_Std_4,0.0018451486
Rolling_Min_52,0.0017033772
Lag_2,0.0014629787
Promotional_Flag,0.0013772087
Cos_Month,0.001309827
Is_Quarter_End,0.0012772636
Rolling_Std_26,0.0012584742
Temperature,0.0009802966
Sin_Month,0.0009582877
DayOfMonth,0.0009447733
Rolling_Mean_12,0.0009378809
Rolling_Max_8,0.00086356443
Sin_Week,0.00079486624
Rolling_Mean_8,0.000741481
Rolling_Max_26,0.00072065665
Fuel_Price,0.0005479808
Sales_Growth_Rate_1v4,0.0005461053
Rolling_Std_8,0.000529481
Dept_Name_Electronics,0.00052166835
Rolling_Mean_26,0.0005079026
Lag_8,0.00046072097
Rolling_Max_12,0.00044259994
Unemployment_Rate,0.0004421056
EMA_12,0.00039327337
Dept_Name_Home & Garden,0.00039133665
Rolling_Std_12,0.00037241794
Store_ID,0.00033660614
Dept_Name_Grocery,0.0003091604
Store_Size,0.0003028183
Store_Type_B,7.805892e-05
Store_Type_C,0.0
Dept_Name_Health & Beauty,0.0
